result_0.189_4,1.152,0.724,-0.049,-0.363,0.035,-0.003,0.009,-0.583,0.193,0.033,0.010,0.030,-0.297,0.599,0.014,0.011,0.836,-0.008,-0.514,0.000,-0.004,-0.407,0.254,0.067,0.009,0.001,0.730,0.006,0.068,0.820,-0.043,0.170,0.067,-0.010,-0.176,0.013,0.114,-0.005,0.270,0.607,0.246,-0.510,0.130,0.195,-0.357,
result_0.189_45,0.765,0.033,-0.004,-0.005,0.075,-0.001,-0.003,-0.688,-0.041,0.034,-0.042,0.615,-0.006,0.417,0.082,1.064,0.141,0.002,-0.006,-0.000,-0.001,-0.759,-0.436,0.568,0.046,0.418,0.134,-0.061,0.008,-0.001,-0.364,1.099,0.269,0.004,-0.091,0.002,0.310,0.552,0.018,0.001,0.048,-0.099,-0.050,0.010,-0.330,
result_0.189_49,0.760,-0.010,-0.128,-0.102,0.177,0.051,-0.011,-0.048,-0.002,0.232,-0.003,-0.011,-0.124,0.150,-0.009,1.207,0.057,-0.065,-0.050,0.149,0.081,-0.903,-0.002,0.232,-0.003,0.257,1.104,-0.008,0.137,0.121,-0.149,0.031,0.073,-0.014,-0.144,0.266,0.021,0.309,0.216,0.824,0.113,-0.625,-0.001,0.120,-0.125,
result_0.189_74,1.163,0.019,-0.872,-0.240,0.091,0.326,0.041,-0.032,0.009,0.006,0.015,0.482,-0.031,0.033,0.491,0.748,0.575,-0.003,-0.030,0.007,0.782,-0.034,0.001,0.062,0.389,0.004,0.032,0.002,0.053,0.256,-0.065,0.714,0.017,-0.019,-0.725,0.335,0.337,0.011,0.023,0.361,0.003,-0.079,0.002,0.218,-0.133,
result_0.190_103,0.999,0.579,-0.033,-0.028,0.193,0.442,0.081,-0.188,0.085,0.132,0.193,0.005,-0.073,0.009,0.533,0.758,0.001,-0.000,-0.616,0.008,0.001,-0.587,0.043,0.006,0.330,0.273,0.036,0.085,0.132,0.915,-0.123,0.890,0.015,-0.004,-0.220,0.001,0.000,0.001,0.125,0.236,0.203,-0.075,0.230,0.196,-0.687,
result_0.190_140,0.880,0.005,-0.047,-0.093,0.127,0.192,0.011,-0.577,0.014,0.140,0.002,0.002,-0.070,0.161,0.003,0.395,0.200,-0.138,-0.353,0.518,0.550,-0.097,0.003,0.071,0.001,0.867,0.057,0.007,0.190,0.188,-0.057,1.033,0.266,-0.181,-0.096,0.012,0.025,0.890,0.075,0.353,0.237,-0.880,0.411,0.007,-0.276,
result_0.190_150,1.160,0.020,-0.236,-0.515,0.007,0.064,0.088,-0.443,0.172,0.192,0.171,0.419,-0.034,0.208,0.046,0.612,0.135,-0.016,-0.297,0.243,0.493,-0.316,0.052,0.134,0.036,0.002,0.672,0.018,0.021,0.964,-0.600,0.015,0.136,-0.016,-0.329,0.139,0.297,0.077,0.192,0.871,0.251,-0.359,0.124,0.031,-0.160,
result_0.190_154,1.233,-0.002,-0.169,-0.099,0.170,0.029,0.003,-0.207,0.031,0.092,0.017,-0.002,-0.133,0.046,0.498,0.430,0.296,-0.023,-0.383,0.949,0.093,-0.465,0.015,0.003,0.220,0.379,0.085,0.065,0.186,0.540,-0.140,0.445,0.144,-0.006,-0.830,0.337,0.109,0.296,0.176,0.526,0.195,-0.081,0.002,0.016,-0.304,
result_0.190_186,1.266,0.754,-0.034,-0.147,0.213,0.084,0.005,-0.045,0.003,0.020,0.020,0.185,-0.084,0.046,0.229,0.060,0.562,-0.002,-0.533,0.993,0.106,-0.228,0.022,0.053,0.001,0.001,0.318,0.235,0.119,0.247,-0.569,0.294,0.004,-0.027,-0.017,0.257,0.022,0.441,0.194,0.297,0.234,-0.051,0.018,0.024,-0.777,
result_0.190_191,1.256,0.026,-0.266,-0.044,0.129,0.681,0.012,-0.345,0.086,0.022,0.157,0.027,-0.188,-0.006,0.032,0.434,0.000,-0.000,-0.122,0.332,0.661,-0.010,0.090,0.204,0.041,0.903,0.357,0.184,0.341,0.586,-0.391,0.342,0.045,-0.001,-0.949,0.057,0.021,0.373,0.021,0.049,0.022,-0.243,0.027,0.044,-0.127,
result_0.190_217,0.720,0.564,-0.548,-0.024,0.004,-0.008,0.171,-0.751,0.007,0.176,0.120,0.041,-0.026,0.387,0.267,0.719,0.739,-0.079,-0.030,0.092,0.321,-0.215,0.006,0.017,0.627,0.001,0.772,0.001,0.131,0.304,-0.039,0.864,0.265,-0.003,-0.663,0.261,0.020,0.511,0.235,0.004,0.049,-0.032,0.001,0.082,-0.114,
result_0.190_220,1.255,0.001,-0.031,-0.583,0.025,0.456,0.071,-0.538,0.208,0.073,0.089,0.003,-0.065,0.491,0.537,-0.004,-0.004,-0.002,-0.284,-0.002,0.001,-0.077,0.161,0.075,0.002,0.000,0.377,0.128,0.183,0.366,-0.495,0.119,0.033,-0.003,-0.061,0.063,0.012,1.003,0.010,0.752,0.031,-0.541,0.073,0.433,-0.127,
result_0.190_255,0.954,0.246,-0.166,-0.291,0.210,0.011,0.013,-0.116,0.134,0.198,0.010,0.637,-0.371,0.301,0.119,0.003,0.024,-0.005,-0.109,0.549,0.820,-0.234,0.049,0.093,0.453,0.204,0.055,0.057,0.214,0.039,-0.454,0.914,0.202,-0.005,-0.416,0.289,0.009,0.751,0.009,0.173,0.091,-0.415,0.059,0.175,-0.635,
result_0.190_258,1.342,0.386,-0.096,-0.017,0.007,0.005,0.292,-0.361,0.108,0.002,0.030,0.685,-0.686,0.002,-0.001,0.005,0.003,-0.006,-0.574,0.003,0.002,-0.194,0.003,0.057,0.000,-0.001,0.000,0.042,0.040,0.002,-0.388,0.000,0.215,-0.022,-0.012,0.131,0.332,1.274,0.093,0.463,0.003,-0.013,0.032,0.007,-0.460,
result_0.190_260,0.738,0.577,-0.159,-0.041,0.172,0.005,0.028,-0.204,0.005,0.173,0.025,0.461,-0.169,0.681,0.003,0.030,0.742,-0.072,-0.287,0.803,0.031,-0.025,0.042,0.324,0.327,0.003,0.612,0.042,0.159,0.045,-0.540,0.948,0.106,-0.013,-0.551,0.041,0.141,0.016,0.192,0.442,0.199,-0.127,0.008,0.010,-0.734,
result_0.190_266,1.298,0.017,-0.497,-0.114,0.001,0.001,0.010,-0.323,0.026,0.166,0.008,0.565,-0.144,0.000,0.143,0.001,0.240,-0.000,-0.102,0.652,0.220,-0.840,0.026,0.345,0.370,0.065,0.114,0.028,0.117,1.040,-0.012,0.228,0.003,-0.000,-0.036,0.077,0.025,0.001,0.381,0.484,0.013,-0.029,0.017,0.017,-0.426,
result_0.190_32,0.858,0.345,-0.841,-0.162,0.063,0.000,0.035,-0.442,0.089,0.051,0.085,0.761,-0.172,0.265,0.006,0.000,0.002,-0.000,-0.540,0.904,0.177,-0.223,0.283,0.009,0.439,0.010,0.093,0.092,0.079,0.000,-0.308,1.069,0.032,-0.003,-0.160,0.005,0.410,0.901,0.032,0.010,0.116,-0.055,0.101,0.005,-0.183,
result_0.190_44,0.985,0.300,-0.762,-0.045,0.148,0.642,0.009,-0.854,0.028,0.202,0.066,0.204,-0.040,0.818,0.199,0.378,0.516,-0.002,-0.077,-0.001,-0.001,-0.043,0.030,0.065,0.196,0.732,0.901,0.003,0.332,0.388,-0.043,0.027,0.026,-0.181,-0.111,0.358,0.028,-0.001,0.144,0.066,0.145,-0.025,0.072,0.028,-0.037,
result_0.191_111,1.229,0.259,-0.244,-0.022,0.211,0.065,0.008,-0.043,0.013,0.234,0.101,0.019,-0.877,0.084,0.009,0.102,0.112,-0.039,-0.518,0.828,0.139,-0.090,0.081,0.040,0.003,0.762,0.416,0.044,0.150,0.920,-0.075,0.259,0.094,-0.006,-0.362,0.290,0.060,0.024,-0.022,0.357,0.123,-0.083,0.118,0.129,-0.062,
result_0.191_130,1.177,0.447,-0.159,-0.377,0.135,0.702,0.060,-0.550,0.049,0.193,0.245,0.345,-0.133,0.672,-0.000,0.156,0.278,-0.008,-0.285,0.067,0.664,-0.387,0.079,0.002,0.364,0.609,0.063,0.084,0.153,0.068,-0.444,0.574,0.120,-0.001,-0.274,0.082,0.130,0.151,0.176,-0.000,0.080,-0.303,0.179,0.123,-0.396,
